seed,steady_error_C,overshoot_percent,reference_settling_h,disturbance_deviation_C,disturbance_settling_h,reference_saturation_percent,disturbance_saturation_percent,passed
0,0.0065346568295083785,4.590457437595319,5.25,1.7110046021725012,10.983333333333333,0.0,13.25468424705066,True
1,0.011041352876564048,4.7643638171031455,5.283333333333333,1.6929073366757663,11.666666666666666,0.0,12.699514226231784,True
2,-0.027172467633658215,4.782989214707278,5.216666666666667,1.7037692205161825,10.9,0.0,13.115891741845939,True
3,0.017735255033361597,3.3702612910488483,5.333333333333333,1.7215981738999346,11.0,0.0,12.977099236641221,True
4,0.006143869674087199,4.524162099771978,5.233333333333333,1.730568822867312,10.8,0.0,12.977099236641221,True
5,0.016394172903670068,4.181127806214313,5.316666666666666,1.7121096402724945,10.7,0.0,12.768910478834142,True
6,0.006180492869237497,4.95702103700264,5.233333333333333,1.7233697377503,10.716666666666667,0.0,13.115891741845939,True
7,0.0056427285909457225,5.423394357677047,5.166666666666667,1.6863099316767176,10.533333333333333,0.0,13.948646773074255,True
8,-0.009621201995077655,4.054404239878728,5.316666666666666,1.7129392221598678,11.25,0.0,12.630117973629423,True
9,0.014451582511732397,4.22369982817834,5.266666666666667,1.716998093688467,10.916666666666666,0.0,12.977099236641221,True
10,-0.010804721498498537,4.527097619920006,5.25,1.6738661118388265,11.033333333333333,0.0,13.324080499653018,True
11,-0.008725618905923938,4.3065303270557465,5.3,1.721240786149096,10.916666666666666,0.0,12.838306731436502,True
12,0.009721960509430971,4.198208166159034,5.266666666666667,1.7166743589192528,10.966666666666667,0.0,12.838306731436502,True
13,0.00533061231869425,3.6083450783227278,5.283333333333333,1.7183549138291667,10.416666666666666,0.0,13.324080499653018,True
14,0.006649571583636771,5.107156595947693,5.366666666666666,1.7232755423996373,11.483333333333333,0.0,12.977099236641221,True
15,0.008679387520562187,3.770317356095454,5.333333333333333,1.7179004805835554,10.783333333333333,0.0,12.907702984038863,True
16,0.0036247375910392066,4.634429810357155,5.2,1.7164156016549015,10.766666666666667,0.0,13.115891741845939,True
17,0.02038250963854793,4.405613904843442,5.266666666666667,1.6983944827475455,10.583333333333334,0.0,13.1852879944483,True
18,0.0009216538982883549,5.236493176122714,5.3,1.7016461748861857,11.1,0.0,13.601665510062459,True
19,0.013964627027970522,5.066066834279503,5.25,1.7152065550970619,11.066666666666666,0.0,13.601665510062459,True
20,-0.015632383372832237,4.614196155094774,5.25,1.684369655690169,10.816666666666666,0.0,13.115891741845939,True
21,-0.016910437342797735,3.5987434448157885,5.333333333333333,1.6929566451318934,10.383333333333333,0.0,12.838306731436502,True
22,-0.007395443381646771,4.949440920860937,5.316666666666666,1.7128032495600571,11.15,0.0,13.046495489243581,True
23,0.0032126520573676487,4.381623260150391,5.283333333333333,1.70859211219814,11.083333333333334,0.0,12.977099236641221,True
24,0.017944154809189428,3.160364885766853,5.333333333333333,1.6846614564274205,10.933333333333334,0.0,12.699514226231784,True
25,0.005358881177194519,3.490795628706067,5.283333333333333,1.7175938322454272,10.733333333333333,0.0,13.115891741845939,True
26,-0.001296605927169736,4.3422676015982375,5.35,1.7153134466340063,11.483333333333333,0.0,12.699514226231784,True
27,0.013490486608485952,4.33957622297072,5.266666666666667,1.7160909536456863,10.116666666666667,0.0,13.324080499653018,True
28,0.0028009907794626088,4.999155912158848,5.2,1.7116269963917077,10.983333333333333,0.0,13.25468424705066,True
29,0.024491671677974836,4.977783760863019,5.283333333333333,1.719125014828549,11.416666666666666,0.0,12.838306731436502,True
30,0.018846551316023863,4.672916058926191,5.283333333333333,1.7144740113869936,10.666666666666666,0.0,13.39347675225538,True
31,0.009771893271977916,3.3669671198508055,5.4,1.7218855903809143,11.05,0.0,12.560721721027065,True
32,-0.012640831253413864,4.059331532700128,5.366666666666666,1.7244599221933434,10.916666666666666,0.0,13.1852879944483,True
33,0.0058082968566388615,4.852493655615042,5.333333333333333,1.7151021834440243,11.116666666666667,0.0,12.768910478834142,True
34,0.01124407652415016,4.921085226722077,5.2,1.7032715911296918,11.1,0.0,12.838306731436502,True
35,-0.008443119352271822,4.4845709190040495,5.3,1.7371943782707575,10.583333333333334,0.0,13.046495489243581,True
36,-0.0028145590829922185,4.262263028330082,5.233333333333333,1.7119735667582106,10.516666666666667,0.0,13.046495489243581,True
37,-0.012627357553927965,4.097017867706221,5.216666666666667,1.7087691797497477,11.616666666666667,0.0,12.838306731436502,True
38,0.004874866796765076,4.748076413373248,5.233333333333333,1.7043257543903998,11.016666666666667,0.0,12.768910478834142,True
39,0.015566708848631094,4.78781513212585,5.3,1.7138492841870772,10.6,0.0,13.462873004857737,True
40,0.0008957937515887693,4.636219830154431,5.266666666666667,1.722038805726811,10.766666666666667,0.0,13.601665510062459,True
41,0.0019315041611633887,4.03955142555894,5.3,1.7018985163463185,10.5,0.0,13.324080499653018,True
42,-0.0029445944162631577,5.008889588896359,5.283333333333333,1.7048484734077363,11.15,0.0,12.907702984038863,True
43,0.008315871204828795,4.585332447484802,5.316666666666666,1.7120631849352073,11.066666666666666,0.0,12.630117973629423,True
44,-0.0021711479658073074,3.4693951128193845,5.3,1.726704035371288,9.983333333333333,0.0,13.39347675225538,True
45,-0.0034328142066115674,4.152047669503567,5.283333333333333,1.7117146553724858,10.616666666666667,0.0,13.462873004857737,True
46,7.701215395528038e-05,4.214037949304661,5.2,1.7244751168035748,10.566666666666666,0.0,13.1852879944483,True
47,0.013134172824564416,4.984465801138782,5.266666666666667,1.708654456687718,11.366666666666667,0.0,12.907702984038863,True
48,-0.008116176688677257,3.791517929259669,5.266666666666667,1.7119837691849895,10.5,0.0,13.1852879944483,True
49,0.00461718709758685,4.095757378892451,5.35,1.7326763424170721,10.35,0.0,13.115891741845939,True
