time_s,time_h,reference_C,outside_temperature_C,temperature_C,sensor_temperature_C,measured_temperature_C,filtered_temperature_C,error_C,P_feedforward_W,P_proportional_W,P_integral_W,P_requested_W,P_command_W,power_effective_W
0.0,0.0,20.0,10.0,20.0,20.069116838412956,20.1,20.1,-0.10000000000000142,0.0,-45.00000000000064,-0.13500000000000192,2454.8649999999993,2454.8649999999993,2500.0
60.0,0.016666666666666666,20.0,10.0,20.0,20.16432362870023,20.200000000000003,20.133333333333336,-0.1333333333333364,0.0,-60.000000000001386,-0.31500000000000605,2439.6849999999986,2439.6849999999986,2500.0
120.0,0.03333333333333333,20.0,10.0,20.0,20.066087415236677,20.1,20.122222222222227,-0.12222222222222712,0.0,-55.0000000000022,-0.48000000000001264,2444.5199999999977,2444.5199999999977,2500.0
180.0,0.05,20.0,10.0,20.0,19.739368553679128,19.700000000000003,19.981481481481488,0.01851851851851194,0.0,8.333333333330373,-0.45500000000002155,2507.8783333333304,2507.8783333333304,2500.0
240.0,0.06666666666666667,20.0,10.0,20.0,20.181071173334622,20.200000000000003,20.054320987654325,-0.05432098765432514,0.0,-24.44444444444631,-0.5283333333333605,2475.0272222222206,2475.0272222222206,2500.0
300.0,0.08333333333333333,20.0,10.0,20.0,20.089274914472803,20.1,20.06954732510288,-0.06954732510288153,0.0,-31.29629629629669,-0.6222222222222505,2468.081481481481,2468.081481481481,2500.0
360.0,0.1,20.0,10.0,20.0,19.89260935292794,19.900000000000002,20.01303155006859,-0.013031550068589581,0.0,-5.864197530865312,-0.6398148148148465,2493.49598765432,2493.49598765432,2500.0
420.0,0.11666666666666667,20.0,10.0,20.0,20.11622362083927,20.1,20.042021033379058,-0.042021033379057826,0.0,-18.90946502057602,-0.6965432098765746,2480.3939917695475,2480.3939917695475,2500.0
480.0,0.13333333333333333,20.0,10.0,20.0,20.072914479237216,20.1,20.061347355586037,-0.061347355586036656,0.0,-27.606310013716495,-0.7793621399177241,2471.6143278463655,2471.6143278463655,2500.0
540.0,0.15,20.0,10.0,20.0,20.058826499331104,20.1,20.074231570390694,-0.07423157039069395,0.0,-33.404206675812276,-0.8795747599451609,2465.7162185642424,2465.7162185642424,2500.0
600.0,0.16666666666666666,20.0,10.0,20.0,20.00568444826316,20.0,20.0494877135938,-0.04948771359379833,0.0,-22.26947111720925,-0.9463831732967886,2476.7841457094937,2476.7841457094937,2500.0
660.0,0.18333333333333332,20.0,10.0,20.0,20.109342597322488,20.1,20.06632514239587,-0.0663251423958684,0.0,-29.84631407814078,-1.0359221155312108,2469.1177638063277,2469.1177638063277,2500.0
720.0,0.2,20.0,10.0,20.0,19.852709182599668,19.900000000000002,20.010883428263913,-0.010883428263912975,0.0,-4.897542718760839,-1.0506147436874935,2494.0518425375517,2494.0518425375517,2500.0
780.0,0.21666666666666667,20.0,10.0,20.0,19.96741801040139,20.0,20.00725561884261,-0.0072556188426098345,0.0,-3.2650284791744255,-1.0604098291250168,2495.6745616917005,2495.6745616917005,2500.0
840.0,0.23333333333333334,20.0,10.0,20.0,19.903576137464004,19.900000000000002,19.971503745895074,0.028496254104926066,0.0,12.82331434721673,-1.0219398860833666,2511.8013744611335,2511.8013744611335,2500.0
900.0,0.25,20.0,10.0,20.0,20.119769242526925,20.1,20.014335830596714,-0.014335830596714061,0.0,-6.451123768521327,-1.0412932573889304,2492.5075829740895,2492.5075829740895,2500.0
960.0,0.26666666666666666,20.0,10.0,20.0,20.007944421496333,20.0,20.00955722039781,-0.009557220397809374,0.0,-4.300749179014218,-1.0541955049259732,2494.64505531606,2494.64505531606,2500.0
1020.0,0.2833333333333333,20.0,10.0,20.0,19.941508649806984,19.900000000000002,19.973038146931874,0.026961853068126374,0.0,12.132833880656868,-1.0177970032840025,2511.115036877373,2511.115036877373,2500.0
1080.0,0.3,20.0,10.0,20.0,19.843618307528633,19.8,19.91535876462125,0.08464123537875068,0.0,38.088555920437805,-0.9035313355226892,2537.1850245849155,2537.1850245849155,2500.0
1140.0,0.31666666666666665,20.0,10.0,20.0,19.948561551876224,19.900000000000002,19.910239176414166,0.08976082358583426,0.0,40.39237061362542,-0.782354223681813,2539.6100163899437,2539.6100163899437,2500.0
1200.0,0.3333333333333333,20.0,10.0,20.0,20.00162843610367,20.0,19.94015945094278,0.05984054905722047,0.0,26.928247075749212,-0.7015694824545653,2526.226677593295,2526.226677593295,2500.0
1260.0,0.35,20.0,10.0,20.0,19.944879418940126,19.900000000000002,19.926772967295186,0.07322703270481412,0.0,32.952164717166355,-0.6027129883030662,2532.349451728863,2532.349451728863,2500.0
1320.0,0.36666666666666664,20.0,10.0,20.0,20.258812762879643,20.3,20.05118197819679,-0.05118197819679082,0.0,-23.03189018855587,-0.6718086588687339,2476.2963011525753,2476.2963011525753,2500.0
1380.0,0.38333333333333336,20.0,10.0,20.0,20.20134486306116,20.200000000000003,20.100787985464528,-0.10078798546452816,0.0,-45.35459345903767,-0.8078724392458468,2453.8375341017168,2453.8375341017168,2500.0
