Cth,Kth,TB,L,reference_steady_error_C,reference_overshoot_percent,reference_settling_h,disturbance_deviation_C,disturbance_settling_h,ideal_physical_drop_C,gap_C,gap_percent,criteria_pass
4000000.0,237.5,2880.0,1440.0,0.02657626846831107,0.0,4.5,1.5758983910673017,11.45,1.4874059948824971,0.08849239618480453,5.949444636452155,True
4000000.0,237.5,2880.0,2160.0,0.025416809549202668,2.06983948779893,4.35,1.8928485428796336,11.016666666666667,1.81201124841537,0.08083729446426346,4.46119164740047,False
4000000.0,237.5,4320.0,1440.0,0.021216110457153547,4.52692316815817,4.666666666666667,1.851178560827588,12.016666666666667,1.763273730425965,0.087904830401623,4.98531957261039,False
4000000.0,237.5,4320.0,2160.0,0.017362656369183327,8.29458407965653,4.616666666666666,2.146935899479619,12.05,2.065403777518405,0.08153212196121373,3.9475149047696165,False
4000000.0,262.5,2880.0,1440.0,0.032301935560258954,0.0,4.816666666666666,1.8411773368918354,6.566666666666666,1.8195821898170053,0.021595147074830123,1.1868189959037763,False
4000000.0,262.5,2880.0,2160.0,0.030239485299762947,0.0,4.583333333333333,2.1657148358326914,7.066666666666666,2.146030323449814,0.019684512382877273,0.9172522945171516,False
4000000.0,262.5,4320.0,1440.0,0.02630619510932064,1.136014562991683,4.883333333333334,2.189051612956284,7.933333333333334,2.1693863603448698,0.019665252611414274,0.9064891791929616,False
4000000.0,262.5,4320.0,2160.0,0.02355810967832994,4.481665409637792,4.8,2.483800415121113,8.35,2.46611226674937,0.01768814837174304,0.7172483025299626,False
6000000.0,237.5,2880.0,1440.0,-0.017713205835487855,6.571516103697128,5.816666666666666,1.136262098588979,15.366666666666667,1.048062052622317,0.08820004596666209,8.415536632204175,False
6000000.0,237.5,2880.0,2160.0,-0.013889920052612581,7.826335962364794,5.683333333333334,1.363337558019559,15.1,1.282508567316917,0.08082899070264205,6.302413314223782,False
6000000.0,237.5,4320.0,1440.0,-0.009504309971870128,10.217236521615725,10.933333333333334,1.3585513799400708,15.783333333333333,1.262115366246114,0.09643601369395682,7.64082399066138,False
6000000.0,237.5,4320.0,2160.0,-0.0005375745643867447,12.589324752080167,12.1,1.5719739848178484,15.616666666666667,1.4840811180956877,0.08789286672216079,5.922376186211528,False
6000000.0,262.5,2880.0,1440.0,-0.008550312154408601,3.934881274728852,6.116666666666666,1.3339399243826229,7.55,1.3113021703472576,0.022637754035365276,1.7263567884868498,False
6000000.0,262.5,2880.0,2160.0,-0.005734385653880736,5.4084985579578415,5.933333333333334,1.572051281427239,8.216666666666667,1.5509830708571855,0.02106821057005348,1.3583778550471002,False
6000000.0,262.5,4320.0,1440.0,-0.0028254529488123126,7.417311705938268,6.083333333333333,1.6155995594084835,9.133333333333333,1.594718330685179,0.020881228723304446,1.3093991786206356,False
6000000.0,262.5,4320.0,2160.0,0.002338149875097173,9.353265439860792,6.016666666666667,1.8360212504134026,9.733333333333333,1.8166466774138037,0.019374572999598882,1.066501991855715,False
