time_s,time_h,reference_C,outside_temperature_C,temperature_C,sensor_temperature_C,measured_temperature_C,filtered_temperature_C,error_C,P_feedforward_W,P_proportional_W,P_integral_W,P_requested_W,P_command_W,power_effective_W
0.0,0.0,22.0,10.0,22.0,22.069116838412956,22.1,22.1,-0.10000000000000142,0.0,-45.00000000000064,-0.13500000000000192,2954.8649999999993,2954.8649999999993,3000.0
60.0,0.016666666666666666,22.0,10.0,22.0,22.16432362870023,22.200000000000003,22.133333333333336,-0.1333333333333364,0.0,-60.000000000001386,-0.31500000000000605,2939.6849999999986,2939.6849999999986,3000.0
120.0,0.03333333333333333,22.0,10.0,22.0,22.066087415236677,22.1,22.122222222222224,-0.12222222222222356,0.0,-55.000000000000604,-0.48000000000000786,2944.5199999999995,2944.5199999999995,3000.0
180.0,0.05,22.0,10.0,22.0,21.739368553679128,21.700000000000003,21.981481481481485,0.018518518518515492,0.0,8.333333333331971,-0.45500000000001195,3007.878333333332,3007.878333333332,3000.0
240.0,0.06666666666666667,22.0,10.0,22.0,22.181071173334622,22.200000000000003,22.054320987654325,-0.05432098765432514,0.0,-24.44444444444631,-0.5283333333333509,2975.0272222222206,2975.0272222222206,3000.0
300.0,0.08333333333333333,22.0,10.0,22.0,22.089274914472803,22.1,22.069547325102885,-0.06954732510288508,0.0,-31.296296296298287,-0.6222222222222458,2968.0814814814794,2968.0814814814794,3000.0
360.0,0.1,22.0,10.0,22.0,21.89260935292794,21.900000000000002,22.01303155006859,-0.013031550068589581,0.0,-5.864197530865312,-0.6398148148148417,2993.49598765432,2993.49598765432,3000.0
420.0,0.11666666666666667,22.0,10.0,22.0,22.11622362083927,22.1,22.04202103337906,-0.04202103337906138,0.0,-18.90946502057762,-0.6965432098765746,2980.393991769546,2980.393991769546,3000.0
480.0,0.13333333333333333,22.0,10.0,22.0,22.072914479237216,22.1,22.06134735558604,-0.06134735558604021,0.0,-27.606310013718094,-0.7793621399177288,2971.614327846364,2971.614327846364,3000.0
540.0,0.15,22.0,10.0,22.0,22.058826499331104,22.1,22.074231570390694,-0.07423157039069395,0.0,-33.404206675812276,-0.8795747599451657,2965.7162185642424,2965.7162185642424,3000.0
600.0,0.16666666666666666,22.0,10.0,22.0,22.00568444826316,22.0,22.0494877135938,-0.04948771359379833,0.0,-22.26947111720925,-0.9463831732967933,2976.7841457094937,2976.7841457094937,3000.0
660.0,0.18333333333333332,22.0,10.0,22.0,22.109342597322488,22.1,22.066325142395865,-0.06632514239586484,0.0,-29.84631407813918,-1.0359221155312108,2969.1177638063295,2969.1177638063295,3000.0
720.0,0.2,22.0,10.0,22.0,21.852709182599668,21.900000000000002,22.01088342826391,-0.010883428263909423,0.0,-4.89754271875924,-1.0506147436874886,2994.051842537553,2994.051842537553,3000.0
780.0,0.21666666666666667,22.0,10.0,22.0,21.96741801040139,22.0,22.007255618842606,-0.007255618842606282,0.0,-3.265028479172827,-1.060409829125007,2995.674561691702,2995.674561691702,3000.0
840.0,0.23333333333333334,22.0,10.0,22.0,21.903576137464004,21.900000000000002,21.97150374589507,0.02849625410492962,0.0,12.823314347218329,-1.0219398860833522,3011.8013744611353,3011.8013744611353,3000.0
900.0,0.25,22.0,10.0,22.0,22.119769242526925,22.1,22.014335830596714,-0.014335830596714061,0.0,-6.451123768521327,-1.0412932573889162,2992.5075829740895,2992.5075829740895,3000.0
960.0,0.26666666666666666,22.0,10.0,22.0,22.007944421496333,22.0,22.00955722039781,-0.009557220397809374,0.0,-4.300749179014218,-1.0541955049259588,2994.64505531606,2994.64505531606,3000.0
1020.0,0.2833333333333333,22.0,10.0,22.0,21.941508649806984,21.900000000000002,21.973038146931874,0.026961853068126374,0.0,12.132833880656868,-1.0177970032839883,3011.115036877373,3011.115036877373,3000.0
1080.0,0.3,22.0,10.0,22.0,21.843618307528633,21.8,21.91535876462125,0.08464123537875068,0.0,38.088555920437805,-0.9035313355226747,3037.1850245849155,3037.1850245849155,3000.0
1140.0,0.31666666666666665,22.0,10.0,22.0,21.948561551876224,21.900000000000002,21.910239176414166,0.08976082358583426,0.0,40.39237061362542,-0.7823542236817985,3039.6100163899437,3039.6100163899437,3000.0
1200.0,0.3333333333333333,22.0,10.0,22.0,22.00162843610367,22.0,21.94015945094278,0.05984054905722047,0.0,26.928247075749212,-0.7015694824545509,3026.226677593295,3026.226677593295,3000.0
1260.0,0.35,22.0,10.0,22.0,21.944879418940126,21.900000000000002,21.926772967295186,0.07322703270481412,0.0,32.952164717166355,-0.6027129883030519,3032.349451728863,3032.349451728863,3000.0
1320.0,0.36666666666666664,22.0,10.0,22.0,22.258812762879643,22.3,22.05118197819679,-0.05118197819679082,0.0,-23.03189018855587,-0.6718086588687194,2976.2963011525753,2976.2963011525753,3000.0
1380.0,0.38333333333333336,22.0,10.0,22.0,22.20134486306116,22.200000000000003,22.100787985464528,-0.10078798546452816,0.0,-45.35459345903767,-0.8078724392458324,2953.8375341017168,2953.8375341017168,3000.0
1440.0,0.4,22.0,10.0,22.0,21.457767504206807,21.5,21.90052532364302,0.09947467635698004,0.0,44.76360436064102,-0.6735816261639094,3044.0900227344773,3044.0900227344773,3000.0
1500.0,0.4166666666666667,22.0,10.0,22.0,21.622197350806466,21.6,21.800350215762016,0.19964978423798385,0.0,89.84240290709273,-0.4040544174426312,3089.4383484896503,3089.4383484896503,3000.0
1560.0,0.43333333333333335,22.0,10.0,22.0,21.965045581588967,22.0,21.86690014384134,0.13309985615865827,0.0,59.89493527139622,-0.22436961162844254,3059.670565659768,3059.670565659768,3000.0
1620.0,0.45,22.0,10.0,22.0,21.91556191768473,21.900000000000002,21.87793342922756,0.12206657077243932,0.0,54.929956847597694,-0.05957974108564947,3054.870377106512,3054.870377106512,3000.0
1680.0,0.4666666666666667,22.0,10.0,22.0,22.04272859949972,22.0,21.91862228615171,0.08137771384829051,0.0,36.61997123173073,0.05028017260954271,3036.6702514043404,3036.6702514043404,3000.0
1740.0,0.48333333333333334,22.0,10.0,22.0,22.043464386204512,22.0,21.94574819076781,0.054251809232191306,0.0,24.413314154486088,0.12352011507300098,3024.536834269559,3024.536834269559,3000.0
1800.0,0.5,22.0,10.0,22.0,22.42356775101021,22.400000000000002,22.097165460511874,-0.09716546051187436,0.0,-43.72445723034346,-0.007653256618029403,2956.2678895130384,2956.2678895130384,3000.0
1860.0,0.5166666666666667,22.0,10.0,22.0,21.777595847461544,21.8,21.998110307007916,0.0018896929920835248,0.0,0.8503618464375862,-0.005102171078716644,3000.8452596753586,3000.8452596753586,2999.24775
1920.0,0.5333333333333333,22.0,10.0,21.999990973,21.9244699715746,21.900000000000002,21.96540687133861,0.034593128661388306,0.0,15.566907897624738,0.04159855261415757,3015.608506450239,3015.608506450239,2998.2550375
1980.0,0.55,22.0,10.0,21.999970060531,22.408524382029466,22.400000000000002,22.110271247559076,-0.11027124755907636,0.0,-49.62206140158436,-0.1072676315905955,2950.270670966825,2950.270670966825,2997.359453541667
2040.0,0.5666666666666667,22.0,10.0,21.999938463791906,22.129279063032275,22.1,22.10684749837272,-0.10684749837271923,0.0,-48.08137426772365,-0.25151175439376644,2951.6671139778823,2951.6671139778823,2997.5347682048614
2100.0,0.5833333333333334,22.0,10.0,21.99990906561899,22.13252174009424,22.1,22.104564998915148,-0.10456499891514781,0.0,-47.054249511816515,-0.392674502929216,2952.553075985254,2952.553075985254,2997.159642438484
